"RelativePath","Length","LastWriteTime","FullName"
"00_GOVERNANCA\THRESHOLDS\CHANGELOGS\THRESHOLDS_CHANGELOG_system_default_v1.0.0_to_v1.1.0.md","1068","2026-04-12T19:07:08.0000000Z","C:\Users\andre\Desktop\EURO MAIN\00_GOVERNANCA\THRESHOLDS\CHANGELOGS\THRESHOLDS_CHANGELOG_system_default_v1.0.0_to_v1.1.0.md"
"00_GOVERNANCA\THRESHOLDS\PROFILES\THRESHOLDS_PROFILE_system_default_v1.0.0.md","2065","2026-04-12T19:07:08.0000000Z","C:\Users\andre\Desktop\EURO MAIN\00_GOVERNANCA\THRESHOLDS\PROFILES\THRESHOLDS_PROFILE_system_default_v1.0.0.md"
"00_GOVERNANCA\THRESHOLDS\PROFILES\THRESHOLDS_PROFILE_system_default_v1.1.0.md","2503","2026-04-12T19:07:08.0000000Z","C:\Users\andre\Desktop\EURO MAIN\00_GOVERNANCA\THRESHOLDS\PROFILES\THRESHOLDS_PROFILE_system_default_v1.1.0.md"
"00_MASTER\EURU_AGENT_MAP.md","12221","2026-04-15T07:32:25.6745884Z","C:\Users\andre\Desktop\EURO MAIN\00_MASTER\EURU_AGENT_MAP.md"
"00_MASTER\EURU_COMPLETE_SYSTEM_AUDIT_2026-04-15.md","48447","2026-04-15T21:07:43.4699089Z","C:\Users\andre\Desktop\EURO MAIN\00_MASTER\EURU_COMPLETE_SYSTEM_AUDIT_2026-04-15.md"
"00_MASTER\EURU_DOCUMENT_REGISTRY_OFFICIAL_v1.3.md","7441","2026-04-11T10:08:48.0000000Z","C:\Users\andre\Desktop\EURO MAIN\00_MASTER\EURU_DOCUMENT_REGISTRY_OFFICIAL_v1.3.md"
"00_MASTER\EURU_HANDOFF_PROMPT_MASTER_REGISTRY_OTHER_IA.md","1116","2026-04-11T10:09:04.0000000Z","C:\Users\andre\Desktop\EURO MAIN\00_MASTER\EURU_HANDOFF_PROMPT_MASTER_REGISTRY_OTHER_IA.md"
"00_MASTER\EURU_MASTER_DOCUMENTO_OFFICIAL_v1.1.md","6535","2026-04-11T10:09:04.0000000Z","C:\Users\andre\Desktop\EURO MAIN\00_MASTER\EURU_MASTER_DOCUMENTO_OFFICIAL_v1.1.md"
"00_MASTER\EURU_MASTER_SESSION_LOG_2026-04-25.md","55175","2026-04-25T09:49:16.8590104Z","C:\Users\andre\Desktop\EURO MAIN\00_MASTER\EURU_MASTER_SESSION_LOG_2026-04-25.md"
"00_MASTER\EURU_NEW_CHAT_PROMPT_MASTER.md","26955","2026-04-15T21:11:16.2575037Z","C:\Users\andre\Desktop\EURO MAIN\00_MASTER\EURU_NEW_CHAT_PROMPT_MASTER.md"
"01_GOVERNANCA\ADR_0001_EURU_CANONICAL_OPERATIONAL_STATE_READ_ONLY.md","1106","2026-04-11T10:09:04.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\ADR_0001_EURU_CANONICAL_OPERATIONAL_STATE_READ_ONLY.md"
"01_GOVERNANCA\ADR_0002_EURU_QUALITY_CONTROL_CANONICAL_FOLDER.md","2386","2026-04-11T10:09:04.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\ADR_0002_EURU_QUALITY_CONTROL_CANONICAL_FOLDER.md"
"01_GOVERNANCA\Arquivo extra recomendado. Padrao decisao Euru.docx","14357","2026-03-27T07:01:10.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\Arquivo extra recomendado. Padrao decisao Euru.docx"
"01_GOVERNANCA\DECISOES_ESTRATEGICAS_REVISADO.md","26404","2026-04-23T07:08:25.0489938Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\DECISOES_ESTRATEGICAS_REVISADO.md"
"01_GOVERNANCA\EURU_AGENT_DECISION_STANDARD_REVISADO.md","1673","2026-04-04T19:32:06.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\EURU_AGENT_DECISION_STANDARD_REVISADO.md"
"01_GOVERNANCA\EURU_DOCUMENT_POLICY_OFFICIAL_v1.0.md","4819","2026-04-11T10:09:04.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\EURU_DOCUMENT_POLICY_OFFICIAL_v1.0.md"
"01_GOVERNANCA\EURU_DOCUMENT_TEMPLATE_HEADER_CHANGELOG.md","434","2026-04-11T10:09:04.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\EURU_DOCUMENT_TEMPLATE_HEADER_CHANGELOG.md"
"01_GOVERNANCA\EURU_GOVERNANCE_LEGACY_TRIAGE_OFFICIAL_v1.0.md","5735","2026-04-11T10:09:04.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\EURU_GOVERNANCE_LEGACY_TRIAGE_OFFICIAL_v1.0.md"
"01_GOVERNANCA\EURU_GOVERNANCE_OPERATIONAL_STATE_OFFICIAL_v1.0.md","4200","2026-04-11T10:09:04.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\EURU_GOVERNANCE_OPERATIONAL_STATE_OFFICIAL_v1.0.md"
"01_GOVERNANCA\EURU_GOVERNANCE_POLICY_ChangeManagement_OFFICIAL_v1.0.md","3021","2026-04-11T10:09:04.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\EURU_GOVERNANCE_POLICY_ChangeManagement_OFFICIAL_v1.0.md"
"01_GOVERNANCA\EURU_GOVERNANCE_POLICY_HumanResponsibilities_OFFICIAL_v1.0.md","2743","2026-04-11T10:09:04.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\EURU_GOVERNANCE_POLICY_HumanResponsibilities_OFFICIAL_v1.0.md"
"01_GOVERNANCA\EURU_GOVERNANCE_POLICY_LegacyMigration_OFFICIAL_v1.0.md","4542","2026-04-11T10:09:04.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\EURU_GOVERNANCE_POLICY_LegacyMigration_OFFICIAL_v1.0.md"
"01_GOVERNANCA\EURU_GOVERNANCE_RULES_MasterRules_OFFICIAL_v1.1.md","3548","2026-04-11T10:09:04.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\EURU_GOVERNANCE_RULES_MasterRules_OFFICIAL_v1.1.md"
"01_GOVERNANCA\EURU_GOVERNANCE_STANDARD_StatusDefinitions_OFFICIAL_v1.0.md","4184","2026-04-11T10:09:04.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\EURU_GOVERNANCE_STANDARD_StatusDefinitions_OFFICIAL_v1.0.md"
"01_GOVERNANCA\EURU_OS_1_REVISADO.md","3351","2026-04-04T19:32:06.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\EURU_OS_1_REVISADO.md"
"01_GOVERNANCA\EURU_OS_REVISADO.md","4280","2026-04-04T19:32:06.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\EURU_OS_REVISADO.md"
"01_GOVERNANCA\GOVERNANCA_DE_MUDANCAS_REVISADO.md","1599","2026-04-04T19:32:06.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\GOVERNANCA_DE_MUDANCAS_REVISADO.md"
"01_GOVERNANCA\PADRAO_UNIFICADO_DE_STATUS_REVISADO.md","1807","2026-04-04T19:32:06.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\PADRAO_UNIFICADO_DE_STATUS_REVISADO.md"
"01_GOVERNANCA\README_GOVERNANCE.md","1528","2026-04-04T19:38:02.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\README_GOVERNANCE.md"
"01_GOVERNANCA\REGRAS_MAE_REVISADO_SUMMARY.md","2252","2026-04-04T19:32:06.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\REGRAS_MAE_REVISADO_SUMMARY.md"
"01_GOVERNANCA\REGRAS_MAE_REVISADO.md","1738","2026-04-04T19:32:06.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\REGRAS_MAE_REVISADO.md"
"01_GOVERNANCA\RESPONSABILIDADES_HUMANOS_REVISADO.md","2357","2026-04-04T19:32:06.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\RESPONSABILIDADES_HUMANOS_REVISADO.md"
"01_GOVERNANCA\backup\DECISOES_ESTRATEGICAS_BACKUP.md","32942","2026-04-03T15:06:18.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\backup\DECISOES_ESTRATEGICAS_BACKUP.md"
"01_GOVERNANCA\backup\EURU OS 1.docx","17725","2026-03-27T06:29:48.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\backup\EURU OS 1.docx"
"01_GOVERNANCA\backup\EURU OS.docx","17088","2026-03-27T06:31:04.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\backup\EURU OS.docx"
"01_GOVERNANCA\backup\EURU.docx","16076","2026-03-27T06:18:14.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\backup\EURU.docx"
"01_GOVERNANCA\backup\GOVERNANCA_DE_MUDANCAS_BACKUP.md","765","2026-03-28T08:42:40.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\backup\GOVERNANCA_DE_MUDANCAS_BACKUP.md"
"01_GOVERNANCA\backup\PADRAO_UNIFICADO_DE_STATUS_BACKUP.md","1019","2026-03-28T08:42:40.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\backup\PADRAO_UNIFICADO_DE_STATUS_BACKUP.md"
"01_GOVERNANCA\backup\REGRAS_MAE.docx","14521","2026-04-02T19:00:10.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\backup\REGRAS_MAE.docx"
"01_GOVERNANCA\backup\REGRAS_MAE.yaml","818","2026-04-03T07:06:54.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\backup\REGRAS_MAE.yaml"
"01_GOVERNANCA\backup\RESPONSABILIDADES_HUMANOS_BACKUP.md","1135","2026-03-28T08:42:40.0000000Z","C:\Users\andre\Desktop\EURO MAIN\01_GOVERNANCA\backup\RESPONSABILIDADES_HUMANOS_BACKUP.md"
"02_BINANCE_SETUP\API_KEYS_E_PERMISSOES_REVISADO (1).docx","12207","2026-04-05T04:59:50.0000000Z","C:\Users\andre\Desktop\EURO MAIN\02_BINANCE_SETUP\API_KEYS_E_PERMISSOES_REVISADO (1).docx"
"02_BINANCE_SETUP\BINANCE_VERIFY.md","364","2026-03-28T08:42:40.0000000Z","C:\Users\andre\Desktop\EURO MAIN\02_BINANCE_SETUP\BINANCE_VERIFY.md"
"02_BINANCE_SETUP\CONTA_E_KYC_REVISADO.docx","10568","2026-04-05T05:00:24.0000000Z","C:\Users\andre\Desktop\EURO MAIN\02_BINANCE_SETUP\CONTA_E_KYC_REVISADO.docx"
"02_BINANCE_SETUP\DEMO_TRADING_REVISADO.docx","11105","2026-04-05T04:59:56.0000000Z","C:\Users\andre\Desktop\EURO MAIN\02_BINANCE_SETUP\DEMO_TRADING_REVISADO.docx"
"02_BINANCE_SETUP\SEGURANCA_E_2FA_REVISADO.docx","10736","2026-04-05T05:00:02.0000000Z","C:\Users\andre\Desktop\EURO MAIN\02_BINANCE_SETUP\SEGURANCA_E_2FA_REVISADO.docx"
"02_BINANCE_SETUP\backup\API Keys e Permiss#U00f5es do Euru.docx","17472","2026-03-27T06:31:54.0000000Z","C:\Users\andre\Desktop\EURO MAIN\02_BINANCE_SETUP\backup\API Keys e Permiss#U00f5es do Euru.docx"
"02_BINANCE_SETUP\backup\CONTA_E_KYC.md","241","2026-03-28T08:42:40.0000000Z","C:\Users\andre\Desktop\EURO MAIN\02_BINANCE_SETUP\backup\CONTA_E_KYC.md"
"02_BINANCE_SETUP\backup\DEMO_TRADING.md","361","2026-03-28T08:42:40.0000000Z","C:\Users\andre\Desktop\EURO MAIN\02_BINANCE_SETUP\backup\DEMO_TRADING.md"
"02_BINANCE_SETUP\backup\Passos.docx","34855","2026-03-27T06:27:24.0000000Z","C:\Users\andre\Desktop\EURO MAIN\02_BINANCE_SETUP\backup\Passos.docx"
"02_BINANCE_SETUP\backup\SEGURANCA_E_2FA.md","377","2026-03-28T08:42:40.0000000Z","C:\Users\andre\Desktop\EURO MAIN\02_BINANCE_SETUP\backup\SEGURANCA_E_2FA.md"
"02_BINANCE_SETUP\exchangeInfo\iPrestrictions questions and KEYS.docx","260747","2026-03-27T20:21:52.0000000Z","C:\Users\andre\Desktop\EURO MAIN\02_BINANCE_SETUP\exchangeInfo\iPrestrictions questions and KEYS.docx"
"03_ARQUITETURA\EURU_ARCHITECTURE_DIAGRAM_PipelineLogic_OFFICIAL_v1.0.md","6617","2026-04-11T10:09:26.0000000Z","C:\Users\andre\Desktop\EURO MAIN\03_ARQUITETURA\EURU_ARCHITECTURE_DIAGRAM_PipelineLogic_OFFICIAL_v1.0.md"
"03_ARQUITETURA\PIPELINE_DIAGRAM.md","27441","2026-04-05T14:38:46.0000000Z","C:\Users\andre\Desktop\EURO MAIN\03_ARQUITETURA\PIPELINE_DIAGRAM.md"
"04_AGENTES\01_RISK_GUARDIAN\BRIEFING.md","3880","2026-04-15T06:18:41.4752460Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\01_RISK_GUARDIAN\BRIEFING.md"
"04_AGENTES\01_RISK_GUARDIAN\OUTPUT_FORMAT.md","4814","2026-04-15T06:19:00.7369849Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\01_RISK_GUARDIAN\OUTPUT_FORMAT.md"
"04_AGENTES\01_RISK_GUARDIAN\PROMPT.md","3772","2026-04-15T06:18:22.2934954Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\01_RISK_GUARDIAN\PROMPT.md"
"04_AGENTES\01_SCOUT\BRIEFING_FINAL.md","2092","2026-04-05T12:17:28.0000000Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\01_SCOUT\BRIEFING_FINAL.md"
"04_AGENTES\01_SCOUT\EURU_AGENTS_SCOUT_PROMPT_OFFICIAL_v1.0.md","1991","2026-04-12T20:22:26.0000000Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\01_SCOUT\EURU_AGENTS_SCOUT_PROMPT_OFFICIAL_v1.0.md"
"04_AGENTES\01_SCOUT\OUTPUT_FORMAT_FINAL.md","1963","2026-04-05T12:20:04.0000000Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\01_SCOUT\OUTPUT_FORMAT_FINAL.md"
"04_AGENTES\01_SCOUT\PROMPT_REVISADO.md","1355","2026-04-05T12:10:54.0000000Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\01_SCOUT\PROMPT_REVISADO.md"
"04_AGENTES\02_FLOW_ANALYST\BRIEFING_FINAL.md","2027","2026-04-05T12:21:42.0000000Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\02_FLOW_ANALYST\BRIEFING_FINAL.md"
"04_AGENTES\02_FLOW_ANALYST\EURU_AGENTS_FLOW_ANALYST_PROMPT_OFFICIAL_v1.0.md","1162","2026-04-12T20:22:26.0000000Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\02_FLOW_ANALYST\EURU_AGENTS_FLOW_ANALYST_PROMPT_OFFICIAL_v1.0.md"
"04_AGENTES\02_FLOW_ANALYST\OUTPUT_FORMAT_FINAL.md","2105","2026-04-05T12:23:10.0000000Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\02_FLOW_ANALYST\OUTPUT_FORMAT_FINAL.md"
"04_AGENTES\02_FLOW_ANALYST\PROMPT_REVISADO.md","505","2026-04-05T12:11:10.0000000Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\02_FLOW_ANALYST\PROMPT_REVISADO.md"
"04_AGENTES\02_STRUCTURE_HUNTER\BRIEFING.md","3510","2026-04-15T06:19:43.3190337Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\02_STRUCTURE_HUNTER\BRIEFING.md"
"04_AGENTES\02_STRUCTURE_HUNTER\OUTPUT_FORMAT.md","4504","2026-04-15T06:20:03.8230043Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\02_STRUCTURE_HUNTER\OUTPUT_FORMAT.md"
"04_AGENTES\02_STRUCTURE_HUNTER\PROMPT.md","3619","2026-04-15T06:19:23.2355792Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\02_STRUCTURE_HUNTER\PROMPT.md"
"04_AGENTES\03_BREAKOUT_CONFIRMATION\BRIEFING.md","4021","2026-04-15T06:20:50.4770152Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\03_BREAKOUT_CONFIRMATION\BRIEFING.md"
"04_AGENTES\03_BREAKOUT_CONFIRMATION\OUTPUT_FORMAT.md","3988","2026-04-15T06:21:10.7970950Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\03_BREAKOUT_CONFIRMATION\OUTPUT_FORMAT.md"
"04_AGENTES\03_BREAKOUT_CONFIRMATION\PROMPT.md","3969","2026-04-15T06:20:26.3250431Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\03_BREAKOUT_CONFIRMATION\PROMPT.md"
"04_AGENTES\03_NEWS_SENTINEL\BRIEFING_FINAL.md","1984","2026-04-05T12:24:18.0000000Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\03_NEWS_SENTINEL\BRIEFING_FINAL.md"
"04_AGENTES\03_NEWS_SENTINEL\EURU_AGENTS_NEWS_SENTINEL_PROMPT_OFFICIAL_v1.0.md","1143","2026-04-12T20:22:26.0000000Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\03_NEWS_SENTINEL\EURU_AGENTS_NEWS_SENTINEL_PROMPT_OFFICIAL_v1.0.md"
"04_AGENTES\03_NEWS_SENTINEL\OUTPUT_FORMAT_FINAL.md","2262","2026-04-05T12:25:14.0000000Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\03_NEWS_SENTINEL\OUTPUT_FORMAT_FINAL.md"
"04_AGENTES\03_NEWS_SENTINEL\PROMPT_REVISADO.md","483","2026-04-05T12:11:22.0000000Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\03_NEWS_SENTINEL\PROMPT_REVISADO.md"
"04_AGENTES\04_ALERT_RADAR\BRIEFING.md","3968","2026-04-15T06:21:53.2617003Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\04_ALERT_RADAR\BRIEFING.md"
"04_AGENTES\04_ALERT_RADAR\OUTPUT_FORMAT.md","4500","2026-04-15T06:22:11.7573971Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\04_ALERT_RADAR\OUTPUT_FORMAT.md"
"04_AGENTES\04_ALERT_RADAR\PROMPT.md","3783","2026-04-15T06:21:32.3719674Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\04_ALERT_RADAR\PROMPT.md"
"04_AGENTES\04_QUANT_RISK_OFFICER\BRIEFING_FINAL.md","2038","2026-04-05T12:28:34.0000000Z","C:\Users\andre\Desktop\EURO MAIN\04_AGENTES\04_QUANT_RISK_OFFICER\BRIEFING_FINAL.md"
